title,url,type,date,summary
She Did Everything Right - Her Daughter Still Couldn't Read,https://opened.co/podcast/child-struggling-to-read-what-actually-works,podcast,2025-12-17,"Janssen Bradshaw, a school librarian with 5,000 books, watched her second daughter fall behind in reading. What she discovered about helping struggling readers changed everything."
Your Kids Will Be Alright (What the New York Times Misses About ‘Unschooling’),https://opened.co/blog/you-can-do-this-what-the-new-york-times-misses-about-unschooling,blog,2025-12-16,The Times says homeschooled kids aren't alright. The data tell a different story.
"From 1 in 2,500 to 1 in 31",https://opened.co/newsletter/from-1-in-2-500-to-1-in-31,daily,2025-12-15,"A whiteboard, a dropout, and the question every parent should ask. PLUS: The Times finally said it."
How to build a village (so you're not doing it alone),https://opened.co/newsletter/how-to-build-a-village-so-youre-not-doing-it-alone,daily,2025-12-12,"Yes, you can homeschool without being the primary teacher. A gift guide filtered by engagement, not noise. PLUS: One family's ""kitchen phone rule"" that actually works..."
The OpenEd Store is now LIVE,https://opened.co/newsletter/the-opened-store-is-now-live,daily,2025-12-11,"Get your Ed swag today. PLUS: One mom's solution after 13 years of burnout, and what's replacing public schools in Kansas."
How to Homeschool (Without Being the Teacher),https://opened.co/podcast/how-to-homeschool-without-being-the-teacher,podcast,2025-12-11,"Homeschool mom Dalena Wallace shares how burnout led her to build co-ops, microschools, and a community-first approach to sustainable homeschooling."
The OpenEd Holiday Gift Guide 2025,https://opened.co/blog/homeschool-gift-guide-2025,blog,2025-12-10,"Discover OpenEd’s 2025 Homeschool Holiday Gift Guide—10 community-tested picks that blend fun and learning, from classic building toys and STEM kits to books, outdoor gear, and teen tech."
An open education day in the life,https://opened.co/newsletter/an-open-education-day-in-the-life,daily,2025-12-09,Her daughter hated mornings. So this OpenEd mom stopped forcing them. PLUS: The AI tool replacing expensive textbooks.
"OpenEd Day in the Life: Brettani Shannon’s Slow-Morning, AI-Powered, Unit Studies Curriculum",https://opened.co/blog/opened-day-in-the-life-brettani-shannons-slow-morning-ai-powered-unit-studies-curriculum,blog,2025-12-09,"A peek into one family’s intentional Open Education homeschool: 10 a.m. starts, AI-built unit studies, a flexible tech stack, and real-life learning."
4 post-COVID trends reshaping education,https://opened.co/newsletter/4-post-covid-trends-reshaping-education,daily,2025-12-08,"Explore how COVID reshaped education: post-COVID trends from Hannah Frankman, and curiosity-inviting tools—plus insights from Isaac Morehouse on the Minimalist Podcast."
